timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2021-09-13T00:00:00.000Z";"2021-09-19T23:59:59.999Z";"2021-09-18T09:20:02.000Z";"2021-09-13T14:20:02.000Z";"2781";46057.21532739;48791.7793722232;43591.3207849088;47260.2173314677;226141953164;889472404519.71;"2021-09-19T23:59:59.999Z"
"2021-09-06T00:00:00.000Z";"2021-09-12T23:59:59.999Z";"2021-09-07T03:22:30.000Z";"2021-09-07T15:10:03.000Z";"2781";51769.00432067;52853.7637963;43285.20858869;46063.27035709;293311066612.4;866636671661.83;"2021-09-12T23:59:59.999Z"
"2021-08-30T00:00:00.000Z";"2021-09-05T23:59:59.999Z";"2021-09-05T22:58:03.000Z";"2021-09-01T01:22:57.000Z";"2781";48834.85267752;51868.68163043;46562.43744881;51753.41192621;256225023618.01;973354882472.79;"2021-09-05T23:59:59.999Z"
"2021-08-23T00:00:00.000Z";"2021-08-29T23:59:59.999Z";"2021-08-23T11:56:03.000Z";"2021-08-27T00:21:13.000Z";"2781";49291.67737487;50482.07640834;46394.28309076;48829.8326;223947952687.7;918057300166.45;"2021-08-29T23:59:59.999Z"
"2021-08-16T00:00:00.000Z";"2021-08-22T23:59:59.999Z";"2021-08-21T17:52:03.000Z";"2021-08-19T04:19:03.000Z";"2781";47019.96132369;49717.0189234;43998.31551257;49321.65404941;236289722725.48;926961622395.32;"2021-08-22T23:59:59.999Z"
"2021-08-09T00:00:00.000Z";"2021-08-15T23:59:59.999Z";"2021-08-14T09:44:03.000Z";"2021-08-09T01:15:03.000Z";"2781";43791.92742356;48098.68409454;42848.68794765;47047.00454195;234268000892.18;883882942187.64;"2021-08-15T23:59:59.999Z"
"2021-08-02T00:00:00.000Z";"2021-08-08T23:59:59.999Z";"2021-08-08T06:43:03.000Z";"2021-08-05T12:47:03.000Z";"2781";39907.2628498;45282.35328436;37458.00399335;43798.11767796;277870527723.53;822545074286.19;"2021-08-08T23:59:59.999Z"
"2021-07-26T00:00:00.000Z";"2021-08-01T23:59:59.999Z";"2021-08-01T03:58:23.000Z";"2021-07-26T00:04:18.000Z";"2781";35384.02988451;42541.67948122;35287.3117098;39974.89602594;296428742216.51;750472428208.37;"2021-08-01T23:59:59.999Z"
"2021-07-19T00:00:00.000Z";"2021-07-25T23:59:59.999Z";"2021-07-25T23:57:11.000Z";"2021-07-20T14:18:13.000Z";"2781";31800.01263521;35364.92558378;29360.95583827;35350.18697353;156414750210.66;663401935102.73;"2021-07-25T23:59:59.999Z"
"2021-07-12T00:00:00.000Z";"2021-07-18T23:59:59.999Z";"2021-07-12T04:23:03.000Z";"2021-07-16T11:45:03.000Z";"2781";34254.01659458;34592.15560419;31100.67337243;31796.81013825;147501894178.56;596513309276.78;"2021-07-18T23:59:59.999Z"
"2021-07-05T00:00:00.000Z";"2021-07-11T23:59:59.999Z";"2021-07-05T00:00:03.000Z";"2021-07-08T11:05:03.000Z";"2781";35284.34443007;35284.34443007;32133.18272686;34240.18701074;178445862440.33;642138104626.48;"2021-07-11T23:59:59.999Z"
"2021-06-28T00:00:00.000Z";"2021-07-04T23:59:59.999Z";"2021-06-29T17:34:03.000Z";"2021-07-02T06:18:03.000Z";"2781";34679.12222205;36542.11101765;32770.68078046;35287.77976616;231729218471.14;661574836314.86;"2021-07-04T23:59:59.999Z"
